author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
CROCUS ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/304155806/,Москва,sale,flat,12,15,1,24.7,-1,0,9000000.0,Молжаниновский,Ленинградское шоссе,228к6,Новоподрезково,1-й Ленинградский
Главстрой,developer,https://www.cian.ru/sale/flat/306076580/,Москва,sale,flat,4,22,2,67.1,-1,0,28625560.0,Филевский парк,Береговой проезд,2,Фили,Береговой-2
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/301258691/,Москва,sale,flat,2,21,2,57.23,-1,0,59000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
ID 103843695,homeowner,https://www.cian.ru/sale/flat/307524005/,Москва,sale,flat,8,9,2,45.4,-1,0,18490000.0,Тропарево-Никулино, 26 Бакинских Комиссаров,8к3,Юго-Западная,
Главстрой,developer,https://www.cian.ru/sale/flat/306847831/,Москва,sale,flat,8,13,2,53.25,-1,0,25178624.0,Котловка,31/2,31/2,Профсоюзная,Новые Академики ЖК
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/307113533/,Москва,sale,flat,47,47,3,131.9,-1,0,59355000.0,Бутырский,Новодмитровская ,2к5,Дмитровская,Савеловский Сити
Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/306998673/,Москва,sale,flat,8,8,3,68.8,-1,0,68800000.0,Тверской,Благовещенский переулок,5,Маяковская,
MR Group,developer,https://www.cian.ru/sale/flat/306610643/,Москва,sale,flat,2,59,2,31.1,-1,0,,Можайский,,,Давыдково,Веер ЖК
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/304304141/,Москва,sale,flat,7,18,3,89.7,-1,0,95000000.0,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК
Винидиктов и Партнеры,real_estate_agent,https://www.cian.ru/sale/flat/301012836/,Москва,sale,flat,4,14,3,116.0,-1,0,87000000.0,Дорогомилово,набережная Тараса Шевченко,1,Киевская,
MR Group,developer,https://www.cian.ru/sale/flat/306614015/,Москва,sale,flat,3,28,2,60.6,-1,0,22803806.0,Даниловский,,,Павелецкая,Павелецкая Сити ЖК
