author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/291188771/,Уфа,sale,flat,7,21,2,86.0,-1,0,20000000,Кировский,Верхнеторговая площадь,4,,
Первый Трест,developer,https://ufa.cian.ru/sale/flat/303287368/,Уфа,sale,flat,7,22,2,39.94,-1,0,6951600,Октябрьский,Глумилино-1 мкр,,,Новатор ЖК
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/290918012/,Уфа,sale,flat,5,9,3,57.7,-1,0,7050000,Октябрьский, Рихарда Зорге,37/3,,
ID 121959026,homeowner,https://ufa.cian.ru/sale/flat/307522155/,Уфа,sale,flat,8,9,3,74.0,-1,0,8662000,Кировский, Цюрупы,84,,
Первый Трест,developer,https://ufa.cian.ru/sale/flat/305658076/,Уфа,sale,flat,3,32,2,39.4,-1,0,6067600,Октябрьский,Сипайлово жилрайон,,,ATLANTIS
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/294813219/,Уфа,sale,flat,5,5,4,95.0,-1,0,6395000,Октябрьский,Комсомольская ,100/1,,
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/295103974/,Уфа,sale,flat,3,13,2,58.3,-1,0,6050000,Орджоникидзевский, Коммунаров,66/2,,
СтроиТЭК,developer,https://ufa.cian.ru/sale/flat/298058442/,Уфа,sale,flat,6,24,2,51.4,-1,0,9149200,Октябрьский,,,,Аурум ЖК
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/286742951/,Уфа,sale,flat,18,24,2,61.4,-1,0,7675000,Октябрьский, Глумилинская,8,,Глумилино
ID 10705889,homeowner,https://ufa.cian.ru/sale/flat/305333314/,Уфа,sale,flat,7,25,1,35.0,-1,0,5800000,Октябрьский, Энтузиастов,15,,Биосфера
Первый Трест,developer,https://ufa.cian.ru/sale/flat/306834745/,Уфа,sale,flat,2,32,1,22.0,-1,0,4180000,Октябрьский,Глумилино-1 мкр,,,8 NEBO
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/293893326/,Уфа,sale,flat,10,16,3,78.7,-1,0,6999000,Октябрьский,Зеленогорская ,17,,
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/296595584/,Уфа,sale,flat,2,2,2,54.1,-1,0,3900000,Кировский, Цветы Башкирии,23,,
Архстрой Групп,developer,https://ufa.cian.ru/sale/flat/305874482/,Уфа,sale,flat,2,25,2,55.9,-1,0,6149000,Ленинский, Природная,,,8 марта
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/305263416/,Уфа,sale,flat,19,29,2,42.7,-1,0,7000000,Октябрьский, Энтузиастов,7,,Tau House
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/292177609/,Уфа,sale,flat,4,15,3,60.9,-1,0,10500000,Советский,бульвар Ибрагимова,90/2,,Grand&Grand
Архстрой Групп,developer,https://ufa.cian.ru/sale/flat/305876347/,Уфа,sale,flat,3,8,2,48.23,-1,0,6848660,Кировский,,,,Цветы Башкирии
